crop_code,crop_name,age_from,age_to,yield_coef,phase,note
APPLE,사과,0,2,0.00,유목기(미결실),"식재~2년차 수확 없음"
APPLE,사과,3,4,0.35,유목기(초기결실),"밀식(M9) 기준 3년차부터 부분 결실"
APPLE,사과,5,6,0.70,성목 진입기,
APPLE,사과,7,20,1.00,성목기,"최대 수익 구간"
APPLE,사과,21,25,0.80,성목 후기,
APPLE,사과,26,30,0.55,노목기,"경제수령 한계 접근"
APPLE,사과,31,99,0.35,노목기(갱신 권장),"갱신비용 차감 검토"
PEACH,복숭아,0,2,0.00,유목기(미결실),
PEACH,복숭아,3,4,0.45,유목기(초기결실),"복숭아는 조기 결실"
PEACH,복숭아,5,6,0.80,성목 진입기,
PEACH,복숭아,7,15,1.00,성목기,"최대 수익 구간"
PEACH,복숭아,16,18,0.75,성목 후기,
PEACH,복숭아,19,20,0.50,노목기,"경제수령 한계 접근"
PEACH,복숭아,21,99,0.30,노목기(갱신 권장),"수명 짧은 수종, 갱신비용 차감 검토"
GRAPE,포도,0,1,0.00,유목기(미결실),
GRAPE,포도,2,3,0.50,유목기(초기결실),"2~3년차 결실 시작"
GRAPE,포도,4,5,0.85,성목 진입기,
GRAPE,포도,6,15,1.00,성목기,"최대 수익 구간"
GRAPE,포도,16,18,0.70,성목 후기,
GRAPE,포도,19,20,0.45,노목기,"경제수령 한계 접근"
GRAPE,포도,21,99,0.30,노목기(갱신 권장),"갱신비용 차감 검토"
